Test ID,Cloud,Category,Component,Test Scenario,Preconditions,Test Steps,Expected Result,Priority,Automation Candidate,Result (Pass/Fail),P1: MvP,P2: Enhancements,P3: Hardening,Comments,Source TC ID,Requirement IDs,Gap Type,Existing Match,V1/V2 Scope,V1 ID
T0123,Azure,Backup & Restore,Point-in-time recovery,Validate Point-in-time recovery on Azure,Cluster and operator installed,Execute workflow for Point-in-time recovery and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
T0124,Azure,Backup & Restore,Backup failure handling,Validate Backup failure handling on Azure,Cluster and operator installed,Execute workflow for Backup failure handling and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
T0125,Azure,Backup & Restore,Cross-region restore,Validate Cross-region restore on Azure,Cluster and operator installed,Execute workflow for Cross-region restore and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
T0126,Azure,Sharded Databases,Create sharded database,Validate Create sharded database on Azure,Cluster and operator installed,Execute workflow for Create sharded database and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0127,Azure,Sharded Databases,Shard rebalance,Validate Shard rebalance on Azure,Cluster and operator installed,Execute workflow for Shard rebalance and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0128,Azure,Sharded Databases,Shard failure recovery,Validate Shard failure recovery on Azure,Cluster and operator installed,Execute workflow for Shard failure recovery and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0129,Azure,Observability,Metrics exposure,Validate Metrics exposure on Azure,Cluster and operator installed,Execute workflow for Metrics exposure and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-045
T0130,Azure,Observability,Prometheus scraping,Validate Prometheus scraping on Azure,Cluster and operator installed,Execute workflow for Prometheus scraping and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-046
T0131,Azure,Observability,Health status updates,Validate Health status updates on Azure,Cluster and operator installed,Execute workflow for Health status updates and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-047
T0132,Azure,Observability,Diagnostics collection,Validate Diagnostics collection on Azure,Cluster and operator installed,Execute workflow for Diagnostics collection and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0133,Azure,Observability,Log aggregation,Validate Log aggregation on Azure,Cluster and operator installed,Execute workflow for Log aggregation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0134,Azure,Observability,Alert generation,Validate Alert generation on Azure,Cluster and operator installed,Execute workflow for Alert generation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0135,Azure,Failure & Resilience,Pod crash recovery,Validate Pod crash recovery on Azure,Cluster and operator installed,Execute workflow for Pod crash recovery and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-053
T0136,Azure,Failure & Resilience,Node drain,Validate Node drain on Azure,Cluster and operator installed,Execute workflow for Node drain and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-054
T0137,Azure,Failure & Resilience,AZ failure,Validate AZ failure on Azure,Cluster and operator installed,Execute workflow for AZ failure and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1-Hardening,
T0138,Azure,Failure & Resilience,Storage latency,Validate Storage latency on Azure,Cluster and operator installed,Execute workflow for Storage latency and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1-Hardening,
T0139,Azure,Failure & Resilience,K8s API outage,Validate K8s API outage on Azure,Cluster and operator installed,Execute workflow for K8s API outage and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1-Hardening,
T0140,Azure,Failure & Resilience,Neo4j process crash,Validate Neo4j process crash on Azure,Cluster and operator installed,Execute workflow for Neo4j process crash and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-055
T0141,Azure,Failure & Resilience,Secret deletion recovery,Validate Secret deletion recovery on Azure,Cluster and operator installed,Execute workflow for Secret deletion recovery and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-056
T0142,Azure,Performance & Scale,100 databases,Validate 100 databases on Azure,Cluster and operator installed,Execute workflow for 100 databases and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0143,Azure,Performance & Scale,1000 users,Validate 1000 users on Azure,Cluster and operator installed,Execute workflow for 1000 users and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0144,Azure,Performance & Scale,Large graph load,Validate Large graph load on Azure,Cluster and operator installed,Execute workflow for Large graph load and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0145,Azure,Performance & Scale,Concurrent reconciles,Validate Concurrent reconciles on Azure,Cluster and operator installed,Execute workflow for Concurrent reconciles and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0146,Azure,Performance & Scale,Operator memory usage,Validate Operator memory usage on Azure,Cluster and operator installed,Execute workflow for Operator memory usage and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0147,Azure,Performance & Scale,Operator CPU usage,Validate Operator CPU usage on Azure,Cluster and operator installed,Execute workflow for Operator CPU usage and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0148,Azure,Cloud Specific,Load balancer integration,Validate Load balancer integration on Azure,Cluster and operator installed,Execute workflow for Load balancer integration and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-032
T0149,Azure,Cloud Specific,Managed disk expansion,Validate Managed disk expansion on Azure,Cluster and operator installed,Execute workflow for Managed disk expansion and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-041
T0150,Azure,Cloud Specific,CSI snapshots,Validate CSI snapshots on Azure,Cluster and operator installed,Execute workflow for CSI snapshots and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0151,Azure,Cloud Specific,IAM/Workload identity integration,Validate IAM/Workload identity integration on Azure,Cluster and operator installed,Execute workflow for IAM/Workload identity integration and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-040
T0152,Azure,Cloud Specific,Private cluster networking,Validate Private cluster networking on Azure,Cluster and operator installed,Execute workflow for Private cluster networking and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0153,GCP,Installation & Upgrade,Helm install operator,Validate Helm install operator on GCP,Cluster and operator installed,Execute workflow for Helm install operator and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0154,GCP,Installation & Upgrade,CRD installation,Validate CRD installation on GCP,Cluster and operator installed,Execute workflow for CRD installation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0155,GCP,Installation & Upgrade,Operator restart recovery,Validate Operator restart recovery on GCP,Cluster and operator installed,Execute workflow for Operator restart recovery and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0156,GCP,Installation & Upgrade,Upgrade operator version,Validate Upgrade operator version on GCP,Cluster and operator installed,Execute workflow for Upgrade operator version and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0157,GCP,Installation & Upgrade,Rollback operator version,Validate Rollback operator version on GCP,Cluster and operator installed,Execute workflow for Rollback operator version and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0158,GCP,Installation & Upgrade,Namespace isolation,Validate Namespace isolation on GCP,Cluster and operator installed,Execute workflow for Namespace isolation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0159,GCP,Installation & Upgrade,RBAC validation,Validate RBAC validation on GCP,Cluster and operator installed,Execute workflow for RBAC validation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0160,GCP,Installation & Upgrade,Multi-cluster deployment,Validate Multi-cluster deployment on GCP,Cluster and operator installed,Execute workflow for Multi-cluster deployment and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0161,GCP,Standalone Deployment,Create standalone instance,Validate Create standalone instance on GCP,Cluster and operator installed,Execute workflow for Create standalone instance and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0162,GCP,Standalone Deployment,Scale storage,Validate Scale storage on GCP,Cluster and operator installed,Execute workflow for Scale storage and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0163,GCP,Standalone Deployment,Secret rotation,Validate Secret rotation on GCP,Cluster and operator installed,Execute workflow for Secret rotation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0164,GCP,Standalone Deployment,Image version upgrade,Validate Image version upgrade on GCP,Cluster and operator installed,Execute workflow for Image version upgrade and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0165,GCP,Standalone Deployment,Resource limits,Validate Resource limits on GCP,Cluster and operator installed,Execute workflow for Resource limits and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0166,GCP,Standalone Deployment,Node failure recovery,Validate Node failure recovery on GCP,Cluster and operator installed,Execute workflow for Node failure recovery and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0167,GCP,Standalone Deployment,PVC retention,Validate PVC retention on GCP,Cluster and operator installed,Execute workflow for PVC retention and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0168,GCP,Standalone Deployment,Config change reconciliation,Validate Config change reconciliation on GCP,Cluster and operator installed,Execute workflow for Config change reconciliation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0169,GCP,Cluster Deployment,3-node cluster creation,Validate 3-node cluster creation on GCP,Cluster and operator installed,Execute workflow for 3-node cluster creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0170,GCP,Cluster Deployment,5-node cluster creation,Validate 5-node cluster creation on GCP,Cluster and operator installed,Execute workflow for 5-node cluster creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0171,GCP,Cluster Deployment,Cluster scale out,Validate Cluster scale out on GCP,Cluster and operator installed,Execute workflow for Cluster scale out and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0172,GCP,Cluster Deployment,Cluster scale in,Validate Cluster scale in on GCP,Cluster and operator installed,Execute workflow for Cluster scale in and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0173,GCP,Cluster Deployment,Rolling restart,Validate Rolling restart on GCP,Cluster and operator installed,Execute workflow for Rolling restart and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0174,GCP,Cluster Deployment,TLS enabled cluster,Validate TLS enabled cluster on GCP,Cluster and operator installed,Execute workflow for TLS enabled cluster and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0175,GCP,Cluster Deployment,Cross-zone scheduling,Validate Cross-zone scheduling on GCP,Cluster and operator installed,Execute workflow for Cross-zone scheduling and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0176,GCP,Cluster Deployment,Split-brain prevention,Validate Split-brain prevention on GCP,Cluster and operator installed,Execute workflow for Split-brain prevention and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0177,GCP,Database CRD,Create database,Validate Create database on GCP,Cluster and operator installed,Execute workflow for Create database and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0178,GCP,Database CRD,Topology changes,Validate Topology changes on GCP,Cluster and operator installed,Execute workflow for Topology changes and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0179,GCP,Database CRD,Initial Cypher seed,Validate Initial Cypher seed on GCP,Cluster and operator installed,Execute workflow for Initial Cypher seed and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0180,GCP,Database CRD,Database deletion,Validate Database deletion on GCP,Cluster and operator installed,Execute workflow for Database deletion and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0181,GCP,Database CRD,ifNotExists behavior,Validate ifNotExists behavior on GCP,Cluster and operator installed,Execute workflow for ifNotExists behavior and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0182,GCP,Database CRD,Wait semantics,Validate Wait semantics on GCP,Cluster and operator installed,Execute workflow for Wait semantics and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0183,GCP,Database CRD,Concurrent database creation,Validate Concurrent database creation on GCP,Cluster and operator installed,Execute workflow for Concurrent database creation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0184,GCP,Security,Admin secret rotation,Validate Admin secret rotation on GCP,Cluster and operator installed,Execute workflow for Admin secret rotation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0185,GCP,Security,Native auth,Validate Native auth on GCP,Cluster and operator installed,Execute workflow for Native auth and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0186,GCP,Security,Role creation,Validate Role creation on GCP,Cluster and operator installed,Execute workflow for Role creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0187,GCP,Security,User creation,Validate User creation on GCP,Cluster and operator installed,Execute workflow for User creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0188,GCP,Security,Role binding,Validate Role binding on GCP,Cluster and operator installed,Execute workflow for Role binding and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0189,GCP,Security,Privilege reconciliation,Validate Privilege reconciliation on GCP,Cluster and operator installed,Execute workflow for Privilege reconciliation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0190,GCP,Security,TLS cert rotation,Validate TLS cert rotation on GCP,Cluster and operator installed,Execute workflow for TLS cert rotation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0191,GCP,Security,Network policies,Validate Network policies on GCP,Cluster and operator installed,Execute workflow for Network policies and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0192,GCP,Plugins,APOC install,Validate APOC install on GCP,Cluster and operator installed,Execute workflow for APOC install and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0193,GCP,Plugins,Plugin upgrade,Validate Plugin upgrade on GCP,Cluster and operator installed,Execute workflow for Plugin upgrade and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0194,GCP,Plugins,Plugin removal,Validate Plugin removal on GCP,Cluster and operator installed,Execute workflow for Plugin removal and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0195,GCP,Plugins,Plugin reconciliation,Validate Plugin reconciliation on GCP,Cluster and operator installed,Execute workflow for Plugin reconciliation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0196,GCP,Backup & Restore,Scheduled backup,Validate Scheduled backup on GCP,Cluster and operator installed,Execute workflow for Scheduled backup and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0197,GCP,Backup & Restore,On-demand backup,Validate On-demand backup on GCP,Cluster and operator installed,Execute workflow for On-demand backup and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0198,GCP,Backup & Restore,Restore full backup,Validate Restore full backup on GCP,Cluster and operator installed,Execute workflow for Restore full backup and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0199,GCP,Backup & Restore,Point-in-time recovery,Validate Point-in-time recovery on GCP,Cluster and operator installed,Execute workflow for Point-in-time recovery and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0200,GCP,Backup & Restore,Backup failure handling,Validate Backup failure handling on GCP,Cluster and operator installed,Execute workflow for Backup failure handling and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0201,GCP,Backup & Restore,Cross-region restore,Validate Cross-region restore on GCP,Cluster and operator installed,Execute workflow for Cross-region restore and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0202,GCP,Sharded Databases,Create sharded database,Validate Create sharded database on GCP,Cluster and operator installed,Execute workflow for Create sharded database and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0203,GCP,Sharded Databases,Shard rebalance,Validate Shard rebalance on GCP,Cluster and operator installed,Execute workflow for Shard rebalance and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0204,GCP,Sharded Databases,Shard failure recovery,Validate Shard failure recovery on GCP,Cluster and operator installed,Execute workflow for Shard failure recovery and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0205,GCP,Observability,Metrics exposure,Validate Metrics exposure on GCP,Cluster and operator installed,Execute workflow for Metrics exposure and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0206,GCP,Observability,Prometheus scraping,Validate Prometheus scraping on GCP,Cluster and operator installed,Execute workflow for Prometheus scraping and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0207,GCP,Observability,Health status updates,Validate Health status updates on GCP,Cluster and operator installed,Execute workflow for Health status updates and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0208,GCP,Observability,Diagnostics collection,Validate Diagnostics collection on GCP,Cluster and operator installed,Execute workflow for Diagnostics collection and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0209,GCP,Observability,Log aggregation,Validate Log aggregation on GCP,Cluster and operator installed,Execute workflow for Log aggregation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0210,GCP,Observability,Alert generation,Validate Alert generation on GCP,Cluster and operator installed,Execute workflow for Alert generation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0211,GCP,Failure & Resilience,Pod crash recovery,Validate Pod crash recovery on GCP,Cluster and operator installed,Execute workflow for Pod crash recovery and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0212,GCP,Failure & Resilience,Node drain,Validate Node drain on GCP,Cluster and operator installed,Execute workflow for Node drain and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0213,GCP,Failure & Resilience,AZ failure,Validate AZ failure on GCP,Cluster and operator installed,Execute workflow for AZ failure and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0214,GCP,Failure & Resilience,Storage latency,Validate Storage latency on GCP,Cluster and operator installed,Execute workflow for Storage latency and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0215,GCP,Failure & Resilience,K8s API outage,Validate K8s API outage on GCP,Cluster and operator installed,Execute workflow for K8s API outage and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0216,GCP,Failure & Resilience,Neo4j process crash,Validate Neo4j process crash on GCP,Cluster and operator installed,Execute workflow for Neo4j process crash and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0217,GCP,Failure & Resilience,Secret deletion recovery,Validate Secret deletion recovery on GCP,Cluster and operator installed,Execute workflow for Secret deletion recovery and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,GCP-deferred,
T0218,GCP,Performance & Scale,100 databases,Validate 100 databases on GCP,Cluster and operator installed,Execute workflow for 100 databases and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0219,GCP,Performance & Scale,1000 users,Validate 1000 users on GCP,Cluster and operator installed,Execute workflow for 1000 users and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0220,GCP,Performance & Scale,Large graph load,Validate Large graph load on GCP,Cluster and operator installed,Execute workflow for Large graph load and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0221,GCP,Performance & Scale,Concurrent reconciles,Validate Concurrent reconciles on GCP,Cluster and operator installed,Execute workflow for Concurrent reconciles and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0222,GCP,Performance & Scale,Operator memory usage,Validate Operator memory usage on GCP,Cluster and operator installed,Execute workflow for Operator memory usage and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0223,GCP,Performance & Scale,Operator CPU usage,Validate Operator CPU usage on GCP,Cluster and operator installed,Execute workflow for Operator CPU usage and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0224,GCP,Cloud Specific,Load balancer integration,Validate Load balancer integration on GCP,Cluster and operator installed,Execute workflow for Load balancer integration and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0225,GCP,Cloud Specific,Managed disk expansion,Validate Managed disk expansion on GCP,Cluster and operator installed,Execute workflow for Managed disk expansion and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0226,GCP,Cloud Specific,CSI snapshots,Validate CSI snapshots on GCP,Cluster and operator installed,Execute workflow for CSI snapshots and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0227,GCP,Cloud Specific,IAM/Workload identity integration,Validate IAM/Workload identity integration on GCP,Cluster and operator installed,Execute workflow for IAM/Workload identity integration and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
T0228,GCP,Cloud Specific,Private cluster networking,Validate Private cluster networking on GCP,Cluster and operator installed,Execute workflow for Private cluster networking and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,GCP-deferred,
GAP-001,Cross-cloud / PRD-specific,Functional,Create HA cluster from valid Neo4jCluster manifest,Extend existing broad test: Create HA cluster from valid Neo4jCluster manifest,Operator installed; cert-manager available; storage class exists,Apply valid Neo4jCluster with primaries and secondaries; observe created resources; wait for status,"StatefulSets, services, certificate, and secrets exist; status Ready=True within 2 minutes",Critical,Yes,,,,,"Existing covers cluster creation, but not the full Neo4jCluster manifest acceptance detail for StatefulSets, services, certs, secrets, Ready within 2 minutes.",TC-001,F-1;CW-1,Partial,3-node cluster creation; 5-node cluster creation; TLS enabled cluster,V1,V1-028
GAP-002,Cross-cloud / PRD-specific,Functional,Validate required Neo4jCluster fields and default edition,Extend existing broad test: Validate required Neo4jCluster fields and default edition,Admission webhook enabled,Apply manifest omitting optional edition; inspect defaulted object and OpenAPI validation,Edition is defaulted; required fields enforced; object accepted only when schema-valid,High,Yes,,,,,"Existing covers CRD installation, but not required-field validation and edition defaulting.",TC-002,F-1;F-12,Partial,CRD installation,V1,V1-017
GAP-003,Cross-cloud / PRD-specific,Functional,Reject malformed cluster topology,Add missing PRD test: Reject malformed cluster topology,Admission webhook enabled,Apply Neo4jCluster with missing topology or invalid storage field,Admission rejects request with clear validation message,High,Yes,,,,,No negative malformed Neo4jCluster topology/schema rejection test.,TC-003,F-1;F-12,Missing,,V1,V1-018
GAP-004,Cross-cloud / PRD-specific,Upgrade,Patch upgrade rolls in safe order,Extend existing broad test: Patch upgrade rolls in safe order,Healthy clustered deployment; synthetic Bolt/HTTP probes running,Change image tag to patch version; observe rollout order and RAFT role checks,"Secondaries roll first, then non-leader primaries, leader last; no 5xx; UpgradeInProgress=False",Critical,Yes,,,,,"Existing covers generic upgrade, not ordered secondaries/non-leader/leader rollout with RAFT checks and no 5xx probes.",TC-004,F-2;CW-2;NFR-AV-2,Partial,Upgrade operator version; Image version upgrade; Rolling restart,V1,V1-029
GAP-005,Cross-cloud / PRD-specific,Upgrade,Block upgrade requiring major store migration,Add missing PRD test: Block upgrade requiring major store migration,Healthy cluster; target version known to require store migration,Change image tag to major incompatible version or migration-needed build,Operator dry-run fails; status Blocked; no rollout starts,Critical,Partial,,,,,No test that blocks upgrades requiring major store migration.,TC-005,F-2;CW-2,Missing,,V1,V1-031
GAP-006,Cross-cloud / PRD-specific,Upgrade,Rollback current upgrade step on readiness failure,Extend existing broad test: Rollback current upgrade step on readiness failure,Cluster under upgrade; ability to inject pod readiness failure,Trigger upgrade and force one updated pod to fail readiness,Operator rolls back or halts current step; Event escalated; cluster remains serviceable,High,Partial,,,,,"Existing covers rollback broadly, not rollback or halt on pod readiness failure during a current upgrade step.",TC-006,F-2;CW-2;NFR-REL-1,Partial,Rollback operator version,V1-Hardening,
GAP-007,Cross-cloud / PRD-specific,Restore,Restore from backup verifies checksum,Extend existing broad test: Restore from backup verifies checksum,Known successful backup with checksum available,Create new cluster with restoreFrom backup reference; monitor init container and readiness,Cluster Ready=True; restored checksum matches source,High,Partial,,,,,"Existing covers full restore, not checksum validation and restored-data integrity evidence.",TC-009,F-3;CW-5;NFR-PERF-3,Partial,Restore full backup,V2,
GAP-008,Cross-cloud / PRD-specific,Security,AWS IRSA service account is annotated and used for backup,Extend existing broad test: AWS IRSA service account is annotated and used for backup,AWS test cluster with IRSA configured,Apply backup spec using auto-created cloud identity; inspect service account and job pod,Service account has expected IRSA annotation; job uses pod identity; no static key secret required,High,Yes,,,,,"Existing covers cloud identity broadly, not AWS IRSA service-account annotations and static-key absence.",TC-010,F-4;NFR-SEC-2,Partial,IAM/Workload identity integration,AWS-followon,
