helm_path,domain,category,client_need,neo4j_doc_ref,helm_code_refs,k8s_resources,crd_target,aggregation_group,versioning,bdr_id,fr_ids,status
podSpec.topologySpreadConstraints,scheduling,scheduling,"Operators distribute Neo4j pods across failure domains (zones, hosts) with skew limits, especially when running multiple...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_helpers.tpl#neo4j.topologySpreadConstraints; helm-charts/neo4j/templates/neo4j-statefulset.yaml,StatefulSet pod spec topologySpreadConstraints,Neo4j.spec.scheduling.topologySpreadConstraints,AGG-SCHEDULING,safe,,NEO-2-008; NEO-3-008-SCH-04,draft
podSpec.priorityClassName,scheduling,scheduling,Operators assign pod priority for preemption and scheduling order in congested clusters. Helm optionally validates the P...,https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_helpers.tpl#neo4j.priorityClassName; helm-charts/neo4j/templates/neo4j-statefulset.yaml,StatefulSet pod spec priorityClassName,Neo4j.spec.scheduling.priorityClassName,AGG-SCHEDULING,deferred,,NEO-2-008; NEO-3-008-SCH-05,draft
podSpec.loadbalancer,scheduling,network,Include or exclude this pod from the shared external LoadBalancer via label `helm.neo4j.com/neo4j.loadbalancer`.,https://neo4j.com/docs/operations-manual/current/kubernetes/,neo4j-statefulset.yaml (pod label); neo4j-loadbalancer.yaml (selector); _helpers.tpl (validation),Pod label + Service selector,N/A (operator-internal — BDR-007),AGG-EXPOSURE,safe,BDR-007,NEO-2-007,draft
podSpec.dnsPolicy,scheduling,scheduling,Operators set pod DNS resolution behavior (default ClusterFirst) for Neo4j discovery and sidecar integration.,https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/neo4j-statefulset.yaml#L62; helm-charts/internal/model/release_values.go#PodSpec.DNSPolicy,StatefulSet pod spec dnsPolicy,Neo4j.spec.podTemplate.dnsPolicy (draft),AGG-SCHEDULING,deferred,,NEO-2-008,draft
podSpec.serviceAccountName,scheduling,scheduling,"Operators bind Neo4j pods to a Kubernetes ServiceAccount for cloud workload identity (S3 backup, GKE WI) and for cluster...",https://neo4j.com/docs/operations-manual/current/kubernetes/backup-restore/,helm-charts/neo4j/templates/_helpers.tpl#neo4j.serviceAccountName; helm-charts/neo4j/templates/neo4j-service-account.yaml; helm-charts/neo4j/templates/neo4j-statefulset.yaml,"ServiceAccount (auto-created), StatefulSet pod serviceAccountName",Neo4j.spec.security.serviceAccount,AGG-SCHEDULING,safe,,NEO-2-008; NEO-3-008-SCH-06; NEO-3-006-CLD-01,draft
podSpec.terminationGracePeriodSeconds,scheduling,scheduling,Operators need a long graceful shutdown window so Neo4j can flush in-memory data to disk before SIGKILL. Helm defaults t...,https://neo4j.com/docs/operations-manual/current/configuration/neo4j-conf/,helm-charts/neo4j/templates/neo4j-statefulset.yaml#L67; helm-charts/internal/model/release_values.go#PodSpec.TerminationGracePeriodSeconds,StatefulSet pod spec terminationGracePeriodSeconds,Neo4j.spec.scheduling.terminationGracePeriodSeconds (draft),AGG-SCHEDULING,safe,,NEO-2-008; NEO-2-010,draft
podSpec.initContainers,scheduling,scheduling,"Operators inject init containers for pre-start setup (custom permissions, data seeding) while the chart may prepend its ...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/neo4j-statefulset.yaml#L68-83; helm-charts/internal/model/release_values.go#PodSpec.InitContainers,StatefulSet pod spec initContainers,Neo4j.spec.podTemplate.initContainers,AGG-SCHEDULING,safe,,NEO-2-008,draft
podSpec.containers,scheduling,scheduling,"Operators attach sidecar containers (metrics agents, log shippers) alongside the Neo4j process in the same pod.",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/neo4j-statefulset.yaml#L173-180; helm-charts/internal/model/release_values.go#PodSpec.Containers,StatefulSet pod spec containers (additional),Neo4j.spec.podTemplate.sidecars,AGG-SCHEDULING,safe,,NEO-2-008; NEO-2-015,draft
image,image,packaging,"Operators must specify which Neo4j container image to run, including private registry mirrors, pull policy, and credenti...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_image.tpl#neo4j.image; helm-charts/internal/model/release_values.go#Image,StatefulSet container image; Secret (imagePullSecret); Job images,Neo4j.spec.image + Neo4j.spec.version,AGG-IMAGE,safe,,NEO-2-004; NEO-2-012; NEO-3-004-IMG-01; NEO-3-004-IMG-02; NEO-3-012-UPG-01,draft
image.imagePullPolicy,image,packaging,"Operators control when kubelet pulls the Neo4j image (IfNotPresent vs Always), important for pinned digests and air-gapp...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/neo4j-statefulset.yaml#L90; helm-charts/internal/model/release_values.go#Image.ImagePullPolicy,StatefulSet container imagePullPolicy,Neo4j.spec.image.pullPolicy,AGG-IMAGE,safe,,NEO-2-012; NEO-3-012-UPG-01,draft
image.registry,image,packaging,Operators pull Neo4j from a private container registry mirror instead of Docker Hub.,https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_image.tpl#L36-39,StatefulSet container image URL prefix,Neo4j.spec.image.repository (combined) | separate registry field (draft),AGG-IMAGE,safe,,NEO-2-004; NEO-3-004-IMG-01,draft
image.repository,image,packaging,Operators set the image repository name (default neo4j) when using separated image fields instead of a full customImage ...,https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_image.tpl#L37-39,StatefulSet container image,Neo4j.spec.image.repository,AGG-IMAGE,safe,,NEO-2-012; NEO-3-012-UPG-01,draft
image.tag,image,packaging,Operators pin or override the Neo4j image tag; when empty Helm derives from chart AppVersion and edition (-enterprise su...,https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_image.tpl#L38-39; helm-charts/neo4j/templates/_image.tpl#neo4j.defaultChartImage,StatefulSet container image tag,Neo4j.spec.version,AGG-IMAGE,safe,,NEO-2-012; NEO-3-012-UPG-01; NEO-3-012-UPG-02,draft
image.customImage,image,packaging,"Operators supply a complete image reference string (registry/repo:tag) for custom builds or internal image pipelines, by...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_image.tpl#L21-34,StatefulSet container image,Neo4j.spec.image (full override draft) | split parse,AGG-IMAGE,safe,,NEO-2-012; NEO-3-012-UPG-01,draft
image.imagePullSecrets,image,packaging,Operators reference existing Kubernetes docker-registry Secrets so the cluster can pull private Neo4j images.,https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_imagePullSecret.tpl#neo4j.imagePullSecrets; helm-charts/neo4j/templates/neo4j-statefulset.yaml,StatefulSet pod imagePullSecrets,Neo4j.spec.image.pullSecrets,AGG-IMAGE,safe,,NEO-2-004; NEO-3-004-IMG-01,draft
image.imageCredentials,image,packaging,"Operators provide registry username/password inline so Helm creates docker-registry Secrets automatically, avoiding manu...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_imagePullSecret.tpl; helm-charts/neo4j/templates/neo4j-imagePullSecret.yaml,Secret type kubernetes.io/dockerconfigjson,N/A — operator expects pre-created pullSecrets,AGG-IMAGE,deferred,,NEO-2-004; NEO-3-004-IMG-02,draft
logging,observability,observability,"Operators customize Neo4j Log4j2 configuration for server logs (debug, query, http, security) and user logs (neo4j.log) ...",https://neo4j.com/docs/operations-manual/current/monitoring/logging/,helm-charts/neo4j/templates/neo4j-config.yaml; helm-charts/internal/model/release_values.go#Logging,"ConfigMap server-logs-config, user-logs-config; volume mounts",Neo4j.spec.logging (draft) | config map refs,AGG-OBSERVABILITY,safe,,NEO-2-016; NEO-3-016-LOG-01; NEO-3-016-LOG-02,draft
logging.serverLogsXml,observability,observability,"Operators override server-logs.xml to control debug, query, HTTP, and security log appenders and levels for operational ...",https://neo4j.com/docs/operations-manual/current/monitoring/logging/,helm-charts/neo4j/templates/neo4j-config.yaml#L231-236; helm-charts/neo4j/server-logs.xml,ConfigMap data server-logs.xml,Neo4j.spec.logging.serverLogsXml (draft),AGG-OBSERVABILITY,safe,,NEO-2-016; NEO-3-016-LOG-02,draft
logging.userLogsXml,observability,observability,"Operators override user-logs.xml for neo4j.log and console appenders, tuning verbosity for application-level messages.",https://neo4j.com/docs/operations-manual/current/monitoring/logging/,helm-charts/neo4j/templates/neo4j-config.yaml#L248-253; helm-charts/neo4j/user-logs.xml,ConfigMap data user-logs.xml,Neo4j.spec.logging.userLogsXml (draft),AGG-OBSERVABILITY,safe,,NEO-2-016; NEO-3-016-LOG-02,draft
serviceMonitor,observability,observability,Operators integrate with Prometheus Operator by creating a ServiceMonitor CR to scrape Neo4j Prometheus metrics endpoint...,https://neo4j.com/docs/operations-manual/current/monitoring/metrics/,helm-charts/neo4j/templates/neo4j-servicemonitor.yaml; helm-charts/internal/model/release_values.go#ServiceMonitor,ServiceMonitor (monitoring.coreos.com/v1),Neo4j.spec.monitoring.serviceMonitor,AGG-OBSERVABILITY,safe,,NEO-2-015; NEO-3-015-MON-01; NEO-3-015-MON-02,draft
podDisruptionBudget,resilience,scheduling,"Operators protect Neo4j availability during voluntary disruptions (node drains, cluster upgrades) by limiting how many p...",https://neo4j.com/docs/operations-manual/current/clustering/,helm-charts/neo4j/templates/neo4j-pdb.yaml; helm-charts/internal/model/release_values.go#PodDisruptionBudget,PodDisruptionBudget (policy/v1),Neo4j.spec.podDisruptionBudget,AGG-SCHEDULING,safe,,NEO-2-008; NEO-2-002-CSZ-01,draft
